Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Black,Blue,Double Black,Green,Terrain Park,Price,Total Runs
Mountain Goat Alley,11532.0,11683.0,151.0,792.0,Blue,Arapahoe Basin,0.19065656565656566,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Ned's Cache,11831.0,12001.0,171.0,633.6,Blue,Arapahoe Basin,0.26988636363636365,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
North Fork,10971.0,11158.0,187.0,686.4,Blue,Arapahoe Basin,0.2724358974358975,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Norway Face,11969.0,12434.0,469.0,1372.8,Blue,Arapahoe Basin,0.34163752913752915,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Norway Mountain Run,11932.0,12402.0,469.0,1372.8,Blue,Arapahoe Basin,0.34163752913752915,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Powerline,12037.0,12444.0,407.0,1161.6,Blue,Arapahoe Basin,0.3503787878787879,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Ramrod,10853.0,11532.0,679.0,2640.0,Blue,Arapahoe Basin,0.2571969696969697,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Shining Light,11726.0,12139.0,413.0,1636.8,Blue,Arapahoe Basin,0.25232160312805474,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
TB Glade,11385.0,11486.0,102.0,633.6,Blue,Arapahoe Basin,0.16098484848484848,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Weasel Way,11309.0,11388.0,79.0,792.0,Blue,Arapahoe Basin,0.09974747474747477,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
West Gully,11647.0,11972.0,325.0,897.6,Blue,Arapahoe Basin,0.3620766488413547,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
West Wall,11850.0,12034.0,187.0,580.8,Blue,Arapahoe Basin,0.321969696969697,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Alex,11532.0,11709.0,177.0,528.0,Black,Arapahoe Basin,0.3352272727272727,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Bailey Bros.,11243.0,11529.0,285.0,479.0,Black,Arapahoe Basin,0.5949895615866388,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Beaver Bowl,11673.0,12172.0,499.0,1742.4,Black,Arapahoe Basin,0.28638659320477505,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Bierstadt,11578.0,11703.0,125.0,373.0,Black,Arapahoe Basin,0.3351206434316354,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Bighorn,11444.0,11736.0,289.0,792.0,Black,Arapahoe Basin,0.3648989898989899,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
